nodo,pagerank,controlabilidad
11014,0.0844336200,0.1707910510
11041,0.0776778158,0.3872173758
11214,0.0298000000,0.2041421874
11333,0.0325000000,0.0546555101
11385,0.0108000000,0.2537534864
11414,0.1325904483,0.0676517714
11489,0.0528000000,0.2407572251
11525,0.1023163083,0.0986885051
11600,0.0136000000,0.6958044033
11628,0.0165000000,0.3080529345
11677,0.0138000000,0.5063200997
11753,0.0039200000,0.5689276601
11764,0.0410000000,0.6753308409
11848,0.0203000000,0.5726069669
12026,0.0153000000,0.1999881313
12041,0.0211000000,0.0936442941
12098,0.0039200000,0.5392558305
12111,0.0136000000,0.2371966055
12158,0.0342000000,0.4009257611
12161,0.0254000000,0.5701738769
12249,0.0095400000,0.5625185449
12371,0.0114000000,0.4087591241
12426,0.0292000000,0.4663224734
12496,0.0463000000,0.7360394042
12522,0.2285074535,0.0630229660
12528,0.0273000000,0.4687555635
12601,0.0103000000,0.1968429173
12615,0.0170000000,0.2880541214
12643,0.0064200000,0.5267936621
12644,0.0167000000,0.1315648923
12661,0.0196000000,0.2226574091
12695,0.0249000000,0.1821850335
12708,0.0039200000,0.3654382529
12716,0.0070600000,0.3357664234
12741,0.0808267828,0.0540620735
12801,0.0455000000,0.2958874844
12802,0.0735300683,0.2866892173
12815,0.0281000000,0.5516586553
12853,0.1097820687,0.1583288826
12861,0.0596000000,0.3989674203
12864,0.0445000000,0.1604059106
12865,0.0088700000,0.2201056317
12877,0.0050300000,0.4339208356
12891,0.0039200000,0.3967123613
12913,0.0282000000,0.5676814432
12947,0.0199000000,0.3001008842
12951,0.0158000000,0.4190849208
13040,0.0681503632,0.0642691828
13098,0.1319291036,0.3446679722
13167,0.0540000000,0.0378019109
13170,0.0517000000,0.2453266868
13171,0.0039200000,0.2034894072
13185,0.0318000000,0.5042430716
13203,0.0039200000,0.1094890511
13228,0.0039200000,0.7909322889
13322,0.0135000000,0.7120052222
13327,0.0039200000,0.7850572666
13348,"1,0000000000",0.0082487686
13352,0.0632000000,0.2496587740
13373,0.0073800000,0.9293217020
13390,0.0082800000,0.8583466857
13403,0.0039200000,0.6065515400
13405,0.1274317042,0.2031926889
13407,0.0039200000,0.1197555041
13412,0.0255000000,0.4382529227
13413,0.0193000000,0.4827013234
13431,0.0061400000,0.3456174708
13470,0.0334000000,0.0761379147
13485,0.0621000000,0.3567147350
13503,0.0101000000,0.4497062489
13504,0.0179000000,0.6385377722
13527,0.0039200000,0.1974956976
13545,0.0613000000,0.0887187704
13559,0.0039200000,0.3668625007
13565,0.0273000000,0.6199632069
13569,0.0406000000,0.2700729927
13581,0.0228000000,0.3440151920
13607,0.0171000000,0.2393329773
13653,0.0039200000,0.9138330069
13696,0.0039200000,0.2482938698
13729,0.0292000000,0.5479200047
13740,0.0376000000,0.0972642573
13893,0.0202000000,0.1807607857
14263,0.0758244284,0.5661385081
14893,0.0338000000,0.1173817578
15023,0.0537000000,0.1141178565
15033,0.0039200000,0.1917987063
15403,0.0065800000,0.1491306154
15483,0.0265000000,0.5606788915
15633,0.0141000000,0.5844163551
16133,0.1227635973,0.0894902380
16263,0.0608000000,0.7442288291
16383,0.0267000000,0.5799062370
16813,0.0434000000,0.0564951635
16853,0.0153000000,0.4928490891
16943,0.0194000000,0.2768381698
17313,0.0039200000,0.5445967598
17353,0.0133000000,0.1666963385
17593,0.0098100000,0.5567028663
17673,0.0336000000,0.1937570471
18473,0.0217000000,0.3839534746
18713,0.1155818308,0.0532906059
19223,0.0105000000,0.6612663937
19813,0.0175000000,0.0129962614
20053,0.0039200000,0.1169070085
21203,0.0084500000,0.2957687971
21573,0.0039200000,0.2422408166
21843,0.0039200000,0.1935196724
22083,0.0752079097,0.1075900540
22253,0.0699263454,0.0945937927
22263,0.0493000000,0.0918639843
22823,0.0303000000,0.2985579491
22873,0.0144000000,0.2982018871
23823,0.0039200000,0.6439380452
24053,0.0272000000,0.2456234051
24263,0.0256000000,0.3495341523
24303,0.0354000000,0.2890629636
24393,0.0204000000,0.2369592309
24883,0.0695798381,0.4946293988
24923,0.0082900000,0.6012699543
25243,0.0039200000,0.6595454276
25583,0.0631000000,0.0991632544
25663,0.1411181181,0.4759954899
25793,0.0420000000,0.3277550294
25923,0.0208000000,0.3468043440
26163,0.0164000000,0.4192036081
26253,0.0425000000,0.2932170198
26743,0.1445647091,0.1512669871
27953,0.0155000000,0.2558305145
29283,0.0211000000,0.3627677883
30733,0.0176000000,0.1086582399
30953,0.0375000000,0.1170850395
31673,0.0417000000,0.1982671652
32893,0.0849522758,0.0691353629
33423,0.1740096815,0.2548810160
33493,0.0082900000,0.4753427096
34153,0.0176000000,0.7616758649
34883,0.0429000000,0.6979407750
35013,0.0214000000,0.0607679070
35373,0.0039200000,0.2752358910
