nodo,controlability,kshell
792443,0.1375586019,2
792563,0.8235119577,2
792596,0.5153996795,4
792646,0.0786303484,5
792764,0.6439973889,6
792909,0.2767194825,2
793024,0.3707198386,5
793112,0.3270429055,3
793238,0.1015963444,9
793342,0.1995727257,7
793695,0.2615275058,2
793721,0.2996261349,3
793772,0.1323363599,5
793909,0.2487686191,9
794136,0.3625304136,5
794227,0.6250667616,4
794309,0.3886416236,2
794633,0.1843807489,9
794784,0.8630941784,2
794801,0.2701916800,6
794885,0.2291852116,9
795100,0.2471663403,4
795360,0.1518010801,8
795448,0.5713607501,3
796135,0.0676517714,9
796772,0.0573853184,8
797203,0.2082368999,9
797285,0.2097204914,5
797835,0.2477597769,3
797840,0.1710877693,4
797943,0.6178268352,2
798007,0.1993946947,8
798102,0.3904812771,2
798171,0.2726247700,4
798201,0.3452020652,4
798295,0.1944691710,2
798391,0.1640852175,9
798478,0.2808735387,4
798577,0.0751884161,8
798645,0.2829505667,2
798851,0.3789686072,4
798952,0.7519435048,2
799088,0.3127410836,6
799198,0.8421458667,6
799246,0.0756631654,4
799247,1.0000000000,3
799254,0.4168892054,4
799286,0.6637588274,5
799297,0.1001720966,3
799390,0.1754198564,9
799499,0.0542994481,3
799532,0.6952109667,4
799645,0.5291080648,4
799963,0.3659723459,3
799965,0.0438549641,5
800031,0.2695388998,2
800069,0.0469408344,4
800076,0.0639724645,6
800364,0.3129784583,5
800407,0.5597887366,3
800548,0.1098451130,4
800991,0.4174232983,5
801123,0.2081182126,5
801173,0.1671710878,4
801446,0.3431250371,5
801486,0.3933891164,4
801587,0.1589223192,7
801660,0.3835974126,6
801917,0.7906949142,3
802093,0.2075247760,5
802212,0.3804521987,2
802225,0.0793424723,6
802833,0.1739956086,2
803201,0.1318616106,6
803324,0.8836864281,2
803890,0.2068126521,4
803938,0.5372974898,2
803975,0.6188950211,4
803979,0.5059046941,2
804070,0.8663580796,2
804138,0.3076375289,4
804358,0.2957687971,8
804382,0.9185804997,2
804416,0.8899175123,2
804457,0.8925286333,2
804683,0.3752893003,3
804763,0.1906118331,7
804808,0.8578125927,2
805066,0.6853599193,2
805124,0.7061302000,4
805280,0.4822859177,3
805450,0.5288706902,5
805758,0.1394575990,3
805991,0.5775324907,6
806043,0.3765948608,5
806057,0.5807370482,4
806539,0.0775028188,9
806753,0.1443831227,9
807091,0.4780131743,5
807161,0.6035843570,2
807649,0.0821909679,9
807720,0.1396949736,4
807776,0.3682274049,2
807891,0.1328111091,6
807913,0.1331671711,8
807933,0.2662156549,6
808096,0.2494807430,4
808213,0.1208830336,5
808520,0.0428461219,9
808739,0.1909678951,3
808847,0.1408225031,3
809093,0.2354162958,5
809131,0.2963622337,5
809138,0.9457005519,3
809184,0.4819891995,5
809288,0.9502106700,2
809445,0.4579550175,4
809760,0.0693133939,6
809866,0.3144027061,6
810134,0.4285205626,5
810204,0.3806895733,4
810224,0.4659070678,2
810560,0.5956916503,3
810579,0.1574980713,5
810647,0.7127766898,2
810948,0.4780131743,3
811051,0.0885407394,6
811099,0.7946709394,4
811255,0.2300160228,5
811453,0.2458014361,3
812126,0.6119518129,6
812493,0.7236365794,2
812842,0.5775918343,5
813365,0.0332324491,5
813491,0.3452020652,6
813524,0.7078511661,3
813670,0.2560085455,3
813798,0.2223013471,4
814056,0.1661622456,4
814153,0.1363123850,3
814253,0.7112337547,8
814256,0.2625956917,8
814293,0.0880066465,8
814304,0.2364251380,8
814310,0.2517358020,5
814422,0.1395169426,4
814859,0.4110141831,5
814881,0.4516052460,2
814927,0.1969022610,5
815088,0.1388641624,4
815295,0.2508456471,5
815314,0.8216723043,3
815411,0.0820129369,8
815554,0.2023025340,2
815577,0.4231202896,3
815586,0.1025458430,4
815587,0.3679306866,4
815666,0.1069966174,5
815875,0.3883449053,4
816089,0.4933238383,6
816145,0.3000415406,3
816234,0.8594148715,4
816242,0.7223903626,2
816640,0.4400332324,2
816653,0.3511364311,6
816838,0.2780250430,8
816850,0.5297015014,3
816952,0.4091151860,8
817083,0.8752596285,3
817112,0.9339505074,2
817183,0.1187466619,8
817204,0.1230787490,2
817246,0.0998753783,4
817742,0.5660791644,2
817900,0.1034359979,5
817907,0.6076197258,4
818146,0.7159219037,2
818155,0.2017684410,5
818277,0.5022253872,6
818340,0.1994540383,7
818440,0.1599905050,5
818666,0.8517595395,2
818690,0.0823096552,9
818790,0.0946531363,7
818797,0.5330247463,2
818814,0.0724586078,5
818851,0.3521452733,2
818878,0.4802682333,2
819068,0.3618182897,7
819268,0.4286985936,6
819302,0.3355883924,3
819425,0.1165509465,6
819522,0.3736276779,4
819613,0.5873835381,2
819647,0.3785532016,6
819672,0.1788617886,2
819999,0.7361580915,6
820025,0.2590944158,2
820251,0.1849148418,5
820272,0.0634977153,5
820585,0.0882440211,7
820661,0.3007536645,5
821083,0.3434217554,4
821609,0.3805708860,5
821637,0.8870096730,3
821669,0.9480149546,2
821949,0.3602753546,3
821996,0.6267283841,2
822112,0.4538009614,2
822482,0.3114355231,2
822506,0.1548869503,8
822715,0.1716812059,7
823054,0.3522639606,6
823083,0.2612307875,7
823106,0.3634799122,2
823115,0.0955432912,8
823261,0.1110913299,7
823288,0.6334935612,3
823350,0.4111922141,3
823506,0.5158744288,2
823784,0.6691591004,2
823999,0.2166636995,5
824087,0.6823927363,2
824130,0.0469408344,2
824155,0.1915019880,7
826951,0.1180938817,7
831481,0.0619547801,4
832331,0.0413031868,9
834711,0.3296540265,5
836241,0.6319506261,4
837791,0.4722568394,5
839201,0.7642276423,3
839321,0.8179336538,2
